iter	Passed	Remaining
0	158	158412
1	168	84216
2	180	59927
3	192	47814
4	203	40511
5	215	35689
6	226	32060
7	237	29510
8	248	27335
9	258	25635
10	270	24280
11	280	23077
12	290	22042
13	298	21048
14	308	20228
15	317	19552
16	328	18984
17	337	18435
18	347	17931
19	356	17482
20	365	17057
21	374	16643
22	384	16313
23	394	16056
24	404	15783
25	414	15516
26	423	15263
27	433	15041
28	442	14824
29	452	14640
30	462	14461
31	472	14291
32	481	14123
33	491	13962
34	501	13818
35	510	13662
36	519	13524
37	528	13385
38	538	13268
39	548	13172
40	559	13076
41	569	12980
42	578	12876
43	587	12770
44	597	12683
45	606	12586
46	617	12517
47	628	12463
48	639	12413
49	651	12375
50	666	12392
51	677	12347
52	689	12313
53	702	12300
54	714	12281
55	724	12214
56	734	12150
57	744	12098
58	754	12036
59	764	11975
60	774	11919
61	784	11867
62	793	11807
63	802	11742
64	811	11679
65	820	11617
66	830	11560
67	838	11499
68	848	11447
69	858	11407
70	869	11381
71	879	11331
72	888	11284
73	897	11235
74	907	11195
75	917	11152
76	927	11122
77	936	11075
78	947	11046
79	962	11069
80	974	11055
81	985	11027
82	995	11003
83	1007	10983
84	1018	10962
85	1029	10943
86	1039	10909
87	1049	10881
88	1062	10875
89	1077	10890
90	1086	10851
91	1096	10817
92	1105	10782
93	1115	10755
94	1124	10714
95	1133	10677
96	1142	10640
97	1152	10608
98	1162	10577
99	1171	10541
100	1180	10506
101	1189	10476
102	1198	10440
103	1207	10404
104	1217	10374
105	1226	10342
106	1235	10310
107	1244	10277
108	1254	10251
109	1263	10223
110	1273	10195
111	1282	10167
112	1291	10136
113	1300	10107
114	1310	10083
115	1320	10064
116	1329	10037
117	1340	10017
118	1351	10002
119	1363	9999
120	1378	10016
121	1389	9999
122	1400	9988
123	1413	9989
124	1426	9986
125	1442	10007
126	1454	10001
127	1466	9990
128	1476	9970
129	1487	9952
130	1497	9935
131	1510	9931
132	1520	9910
133	1529	9887
134	1539	9863
135	1547	9833
136	1557	9812
137	1567	9788
138	1578	9778
139	1588	9756
140	1597	9729
141	1605	9703
142	1615	9680
143	1625	9660
144	1634	9638
145	1643	9613
146	1652	9589
147	1662	9569
148	1671	9547
149	1681	9526
150	1694	9526
151	1704	9509
152	1715	9495
153	1725	9478
154	1735	9461
155	1745	9443
156	1758	9440
157	1768	9424
158	1777	9403
